Indicator,Area,Units,1987 Q1,1987 Q2,1987 Q3,1987 Q4,1988 Q1,1988 Q2,1988 Q3,1988 Q4,1989 Q1,1989 Q2,1989 Q3,1989 Q4,1990 Q1,1990 Q2,1990 Q3,1990 Q4,1991 Q1,1991 Q2,1991 Q3,1991 Q4,1992 Q1,1992 Q2,1992 Q3,1992 Q4,1993 Q1,1993 Q2,1993 Q3,1993 Q4,1994 Q1,1994 Q2,1994 Q3,1994 Q4,1995 Q1,1995 Q2,1995 Q3,1995 Q4,1996 Q1,1996 Q2,1996 Q3,1996 Q4,1997 Q1,1997 Q2,1997 Q3,1997 Q4,1998 Q1,1998 Q2,1998 Q3,1998 Q4,1999 Q1,1999 Q2,1999 Q3,1999 Q4,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,Source
Single Family Home- Median Price,Honolulu County,Dollars,"172,000","181,000","187,000","192,500","193,500","195,000","224,800","225,000","236,000","259,500","275,000","300,000","325,000","345,000","375,000","367,500","339,800","345,000","345,000","335,000","342,000","339,500","350,000","352,000","347,000","358,500","365,000","360,000","355,000","365,000","368,000","357,000","349,000","340,000","350,000","352,000","331,800","335,000","335,000","333,500","313,800","300,000","315,000","300,000","288,500","305,000","296,500","295,000","295,000","289,500","299,000","285,000","289,000","301,400","299,800","292,500","280,000","295,000","307,000","310,000","310,000","330,000","345,000","350,000","350,000","375,000","392,500","399,000","420,000","451,000","469,000","490,000","529,100","577,800","615,000","620,000","625,000","640,000","635,000","620,000","620,000","665,000","649,900","625,300","618,000","636,000","615,000","610,000","565,000","569,500","581,250","580,000","591,500","580,000","620,000","585,000","560,000","580,000","570,000","583,000","616,950","620,000","625,000","625,000","613,500","641,000","665,000","663,800","655,000","679,000","669,000","697,000","675,000","690,000","705,000","712,250","724,900","730,000","740,750","740,500","750,000","754,000","765,000","757,000","765,000","781,194","805,000","795,000","780,000","775,000","800,000","800,000","780,000","790,500","840,000","870,000","915,000","960,000","1,030,000","1,050,000","1,100,000","1,123,500","1,110,500","1,083,500","1,025,000","1,050,000","1,073,750","1,070,000","1,070,000","1,100,000","1,125,000","1,085,000",Board of Realtors
Single Family Home- Median Price,Maui County,Dollars,,,,,,,,,,,,,"270,000","275,000","310,000","285,000","287,500","260,000","282,500","275,000","290,000","280,000","290,000","285,000","267,000","285,000","275,000","265,000","281,500","275,000","270,000","275,000","272,500","282,500","280,000","260,000","265,000","275,000","266,500","250,000","266,000","265,000","244,500","250,000","271,000","256,000","260,000","240,600","252,200","250,000","253,300","250,000","270,000","288,500","270,000","278,500","330,000","281,500","260,000","306,000","362,000","367,900","380,800","392,400","401,600","399,000","450,000","510,000","525,000","550,000","575,000","566,000","611,250","725,000",,,"699,000",,,,"610,000",,,,"602,783",,,,"520,000",,,,"469,500",,,,"450,000",,,,"443,750",,,,"520,000",,,,"585,000",,,,"600,000",,,,"610,000",,,,"697,000",,,,"682,468",,,,"735,000",,,,"770,173",,,,"955,000",,,,"1,150,000",,,,"1,150,000",,,,"1,300,000",,,,Board of Realtors
