Indicator,Market,Destination,Units,1999 Q1,1999 Q2,1999 Q3,1999 Q4,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4
Visitor arrivals,Total,Statewide,persons,"1,699,645","1,628,112","1,805,603","1,652,433","1,726,914","1,750,369","1,826,460","1,685,550","1,730,125","1,683,051","1,650,151","1,287,034","1,557,670","1,600,240","1,700,844","1,594,079","1,579,855","1,524,144","1,723,741","1,614,280","1,656,659","1,731,343","1,859,584","1,744,341","1,843,929","1,801,742","2,002,921","1,845,644","1,873,474","1,884,751","2,005,210","1,864,682","1,861,016","1,885,766","2,023,998","1,857,040","1,877,780","1,684,924","1,684,084","1,576,124","1,607,616","1,609,381","1,727,274","1,572,784","1,671,864","1,715,675","1,869,634","1,760,961","1,824,850","1,742,722","1,882,690","1,848,785","1,984,452","1,949,432","2,055,935","2,038,923","2,088,932","2,008,673","2,091,651","1,985,204","2,074,319","2,043,241","2,134,613","2,068,612","2,133,528","2,169,751","2,223,193","2,153,091","2,196,758","2,216,659","2,278,529","2,242,331","2,274,483","2,347,538","2,415,471","2,366,853","2,468,053","2,483,792","2,494,656","2,442,343","2,527,277","2,643,905","2,657,783","2,557,708","2,114,143","32,731","64,339","497,045","847,047","1,905,914","2,107,156","1,917,643","1,986,232","2,436,300","2,452,067","2,359,383","2,447,710","2,519,388","2,361,140","2,329,368","2,413,809","2,408,296","2,452,573","2,455,612","2,455,747",,,
Visitor days,Total,Statewide,days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,510,706","14,821,512","15,694,476","14,809,974","16,159,699","15,505,911","17,271,993","16,527,522","17,936,497","15,936,210","17,165,629","17,428,184","19,425,938","17,591,249","18,621,781","18,880,311","19,783,729","17,874,841","18,963,068","18,320,530","19,790,491","18,193,996","18,932,398","19,015,451","20,325,270","19,081,189","19,632,227","19,581,399","20,681,670","19,335,678","20,082,850","20,125,209","21,321,329","20,541,011","21,111,851","21,193,212","22,869,632","21,800,534","21,979,701","21,634,847","22,804,420","22,438,179","22,904,448","22,213,898","19,444,836","887,960","1,883,155","6,443,826","9,305,804","18,129,958","19,396,245","18,480,267","19,132,235","21,963,867","22,413,697","21,729,992","22,784,084","22,128,941","20,777,316","20,735,672","21,822,007","20,717,181","20,925,482","21,223,723","22,020,711",,,
Expenditure,Total,Statewide,$ mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,576.65","2,331.35","2,454.01","2,457.49","2,609.59","2,494.72","2,968.49","2,916.19","3,118.02","2,744.04","3,065.04","3,143.17","3,598.84","3,316.07","3,655.80","3,679.49","3,818.15","3,380.21","3,651.50","3,562.71","3,847.82","3,470.44","3,734.36","3,798.52","3,830.01","3,638.93","3,728.41","3,779.52","3,956.72","3,767.89","4,006.51","4,061.98","4,265.14","3,982.76","4,193.91","4,226.92","4,589.29","4,382.84","4,352.05","4,185.49","4,493.98","4,363.78","4,444.32","4,413.98","3,926.28",,,,"1,576.81","3,502.34","4,020.67","4,027.17","4,286.89","5,073.27","5,255.13","5,083.85","5,389.27","5,434.13","4,948.00","4,962.88","5,271.14","5,078.75","5,239.90","5,178.18","5,613.72",,,
Daily census,Total,Statewide,persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172,341","162,874","170,592","160,978","179,552","170,395","187,739","179,647","199,294","175,123","186,583","189,437","213,472","193,310","202,411","205,221","219,819","196,427","206,120","199,136","219,894","199,934","205,787","206,690","225,836","209,683","213,394","212,841","227,271","212,480","218,292","218,752","236,904","225,725","229,477","230,361","254,107","239,566","238,910","235,161","253,382","246,573","248,961","241,455","213,680","9,758","20,469","70,042","103,398","199,230","210,829","200,872","212,580","241,361","243,627","236,196","253,156","243,175","225,840","225,388","239,802","227,661","227,451","230,693","244,675",,,
Length of stay,Total,Statewide,days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65,9.21,9.09,9.42,9.67,9.04,9.24,9.39,9.83,9.14,9.12,9.43,9.79,9.02,9.06,9.26,9.47,8.9,9.07,9.23,9.54,8.9,8.87,9.19,9.53,8.79,8.83,9.09,9.41,8.72,8.81,8.98,9.37,8.75,8.74,8.95,9.27,8.78,8.81,8.86,9.02,8.49,8.62,8.69,9.2,27.13,29.27,12.96,10.99,9.51,9.2,9.64,9.63,9.02,9.14,9.21,9.31,8.78,8.8,8.9,9.04,8.6,8.53,8.64,8.97,,,
PPPD,Total,Statewide,dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.12,157.29,156.36,165.93,161.49,160.89,171.87,176.44,173.84,172.19,178.56,180.35,185.26,188.51,196.32,194.88,192.99,189.1,192.56,194.47,194.43,190.75,197.25,199.76,188.44,190.71,189.91,193.02,191.32,194.87,199.5,201.84,200.04,193.89,198.65,199.45,200.67,201.04,198,193.46,197.07,194.48,194.04,198.7,201.92,,,,169.44,193.18,207.29,217.92,224.07,230.98,234.46,233.96,236.54,245.57,238.14,239.34,241.55,245.15,250.41,243.98,254.93,,,
PPPT,Total,Statewide,dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,602.77","1,448.60","1,420.74","1,562.51","1,560.89","1,454.08","1,587.74","1,656.02","1,708.64","1,574.57","1,628.01","1,700.12","1,813.52","1,701.04","1,778.17","1,804.62","1,827.80","1,682.81","1,745.75","1,794.63","1,854.98","1,698.50","1,749.43","1,836.27","1,795.15","1,677.12","1,677.05","1,755.39","1,801.16","1,699.81","1,758.38","1,811.50","1,875.21","1,696.57","1,736.27","1,785.88","1,859.48","1,764.58","1,744.55","1,713.72","1,778.19","1,650.51","1,672.19","1,725.76","1,857.15",,,,"1,861.53","1,837.61","1,908.10","2,100.06","2,158.30","2,082.37","2,143.14","2,154.74","2,201.76","2,156.92","2,095.60","2,130.57","2,183.74","2,108.86","2,136.49","2,108.71","2,285.95",,,
